,y
1,0.467833647
2,3.146718879
3,2.112004269
4,1.445635754
5,3.306301296
6,1.024952493
7,1.487926746
8,0.71988335
9,2.053746624
10,1.163595076
11,1.5910712
12,2.705655616
13,3.446162576
14,2.724937323
15,2.176361791
16,1.094891821
17,2.857714345
18,1.515648035
19,1.733697954
20,0.992645381
21,1.388456405
22,2.334370075
23,2.061850168
24,1.450044193
25,0.909951861
26,3.678534235
27,0.796675055
28,3.013762794
29,1.713286968
30,2.663056699
31,2.146391658
32,2.360967147
33,3.574657494
34,2.724242113
35,3.55091967
36,1.599176542
37,2.453781913
38,0.795933883
39,2.712521187
40,0.384057315
41,3.141263304
42,1.544482895
43,2.552872141
44,2.25680259
45,1.737498737
46,1.72767947
47,0.690336656
48,2.954998317
49,2.62462739
50,3.014977777
51,1.381751829
52,2.478770039
53,0.67274129
54,2.424324141
55,2.161016871
56,1.745620187
57,2.487605372
58,3.667667034
59,3.119964028
60,3.856185209
61,1.183442362
62,1.82181689
63,1.248620523
64,1.877398315
65,3.651271746
66,2.81164638
67,1.740489437
68,1.556322823
69,1.960602005
70,2.362297753
71,2.436901656
72,1.452478119
73,0.736714335
74,1.747589577
75,3.354052697
76,4.283077762
77,2.854742634
78,3.649197496
79,2.198030037
80,1.198356835
81,1.602305315
82,3.365917811
83,1.801812683
84,1.774797675
85,1.389879578
86,0.345312964
87,3.936089329
88,1.561431662
89,2.280388074
90,2.918258067
91,1.737246152
92,1.168591056
93,2.109098536
94,1.615678647
95,2.796242619
96,0.877566249
97,1.475938647
98,-0.286005438
99,2.167197508
100,0.550357735
101,1.332239629
102,-0.39856522
103,0.256760501
104,-0.946794859
105,-0.49645721
106,0.818786706
107,0.026473019
108,-0.740180137
109,-0.466352512
110,0.40315168
111,0.384143945
112,0.495206228
113,-0.074497795
114,0.765964154
115,2.118636117
116,1.697864099
117,0.55399704
118,-0.660503388
119,0.381685798
120,0.264583901
121,1.126144241
122,-0.608233218
123,0.412771166
124,-0.32863998
125,-0.487384363
126,0.569433014
127,0.608462621
128,0.134666465
129,-1.266077039
130,-1.043302615
131,-0.855157311
132,0.988045861
133,-0.134187057
134,-1.574620385
135,-0.472918011
136,-0.698913859
137,-0.235492213
138,-1.508326831
139,1.639268939
140,-0.468821231
141,-0.487673723
142,-0.970612471
143,-0.665570741
144,0.856841974
145,-1.643893921
146,-0.937899262
147,0.629428407
148,0.296269755
149,0.877932419
150,0.432669788
151,-0.979840989
152,-0.265730135
153,-0.795111536
154,-1.637952468
155,0.77629298
156,-0.60065869
157,2.281185871
158,0.093070374
159,-0.152487834
160,0.982920858
161,0.236075215
162,0.100448902
163,1.035083638
164,2.284244736
165,0.535806153
166,0.357392187
167,0.370310835
168,1.681448924
169,0.870208476
170,0.94523662
171,1.777257386
172,0.423620584
173,1.392513435
174,1.152511368
175,-0.512162148
176,0.69672213
177,-1.252460515
178,0.468000122
179,0.986477124
180,0.887932416
181,0.360928958
182,-1.784185473
183,-1.224055651
184,-0.818467979
185,0.880131897
186,0.436508968
187,0.104381195
188,1.243428094
189,0.580110777
190,2.719706091
191,-2.136539867
192,-0.001554491
193,1.191229429
194,0.447584523
195,-0.343228579
196,-0.745156478
197,1.195736898
198,0.780924684
199,-1.910290867
200,-0.217698901
201,-1.10914368
202,-2.724136453
203,-2.602707147
204,-3.82460382
205,-1.709609174
206,-2.623473739
207,-1.02156367
208,-1.56198785
209,-4.474619245
210,-1.389498504
211,-2.811408747
212,-2.688006159
213,-2.619514786
214,-0.829440135
215,-1.176933342
216,-4.085495361
217,-3.765185253
218,-1.276884625
219,-3.537696719
220,-1.39005672
221,-2.302609566
222,-4.295722159
223,-2.084547976
224,-2.953533404
225,-3.252852116
226,-2.338228211
227,-3.270929935
228,-0.38632571
229,-1.13911087
230,-3.25076714
231,-0.892044706
232,-2.077398522
233,-2.892659602
234,-0.809702738
235,-2.125470683
236,-1.857656663
237,-2.592755043
238,-2.495196376
239,-3.216564218
240,-3.929056664
241,-0.297707457
242,-2.926491388
243,-3.494061238
244,-1.348070136
245,-2.730001479
246,-1.92717751
247,-1.723393503
248,-3.746121003
249,-0.077640002
250,-1.12450494
251,-2.614812893
252,-3.794353377
253,-2.156482857
254,-0.968928426
255,-0.999868302
256,-2.331048274
257,-3.170609141
258,-1.560724973
259,-3.487354132
260,-1.065137082
261,-1.659324711
262,-3.111405911
263,-2.736909279
264,-1.122090251
265,-3.129767951
266,-2.081448306
267,-2.635521501
268,-2.191802605
269,-3.178014609
270,-1.311228285
271,-2.847937866
272,-1.542041744
273,-1.353848541
274,-2.48747178
275,-3.200331014
276,-0.477876247
277,-1.629336932
278,-1.309646144
279,-2.406091458
280,-0.792499524
281,-2.303336437
282,-2.403588723
283,-1.504836798
284,-1.401043256
285,-1.825001896
286,-2.519746253
287,-1.979189034
288,-2.294237032
289,-1.709403063
290,-2.397224356
291,-2.388021487
292,-0.81272125
293,-0.403878227
294,-1.167959459
295,-1.758965693
296,-0.652586829
297,-2.692822662
298,-3.121410176
299,-2.928408135
300,-2.583439196
