i,j,x,y
1,1,0.07,1.79
1,2,0.48,1.58
1,3,0.4,1.61
2,1,0.69,3.14
2,2,0.26,2.8
2,3,0.6,1.97
3,1,0.41,3.4
3,2,0.74,3.85
3,3,0.91,4.46
4,1,0.46,0.77
4,2,0.42,3.21
4,3,0.56,2.64
5,1,0.85,2.08
5,2,0,0.57
5,3,0.96,1.78
6,1,0.65,0.46
6,2,0.18,-0.72
6,3,0.31,-0.56
7,1,0.97,1.76
7,2,0.24,2.52
7,3,0.51,3.45
8,1,0.98,1.78
8,2,0.38,0.33
8,3,0.88,1.99
9,1,0.81,0.1
9,2,0.83,0.08
9,3,0.69,-0.23
10,1,0.84,2.2
10,2,0.07,-0.75
10,3,0.12,1.1
11,1,0.18,2.95
11,2,0.8,2.97
11,3,0.67,3.52
12,1,0.17,-1.45
12,2,0.29,-0.4
12,3,0.01,-0.08
13,1,0.52,1.42
13,2,0.16,1.09
13,3,0.53,1.43
14,1,0.47,0.78
14,2,0.66,2.52
14,3,0.2,0.95
15,1,0.4,5.43
15,2,0.44,5.13
15,3,0.12,3.02
16,1,0.23,0.55
16,2,0.37,0.79
16,3,0.73,0.07
17,1,0.51,1.36
17,2,0.01,-1.43
17,3,0.86,0.38
18,1,0.47,1.33
18,2,0.26,-0.01
18,3,0.18,0.51
19,1,0.27,2.45
19,2,0.05,1.03
19,3,0.89,2.21
20,1,0.76,2.13
20,2,0.48,1.9
20,3,0.06,1.95
21,1,0.45,0.97
21,2,0.39,-0.22
21,3,0.49,0.31
22,1,0.48,1.94
22,2,0.25,1.02
22,3,0.93,1.69
23,1,0.06,0.73
23,2,0.86,-2.01
23,3,0.77,-0.07
24,1,0.07,1.27
24,2,0.68,-0.01
24,3,0.82,1.74
25,1,0.8,0.14
25,2,0.68,-2.25
25,3,0.25,0.67
26,1,0.19,5.37
26,2,0.47,5.27
26,3,0.02,1.51
27,1,0.42,-2.79
27,2,0.43,0.25
27,3,0.51,-1.04
28,1,0.64,3.23
28,2,0.9,2.74
28,3,0.54,0.43
29,1,0.73,1.25
29,2,0.76,2.3
29,3,0.21,1.42
30,1,0.79,1.91
30,2,0.63,2.08
30,3,0.46,0.07
31,1,0.01,0.43
31,2,0.17,-0.84
31,3,0.15,0.32
32,1,0.8,1.79
32,2,1,2.71
32,3,0.8,4.53
33,1,0.59,0.01
33,2,0.4,-1.38
33,3,0.38,1.35
34,1,0.3,2.08
34,2,0.87,4.01
34,3,0.44,2.61
35,1,0.97,4.37
35,2,0.79,1.85
35,3,0.74,3.81
36,1,0.77,1.9
36,2,0.86,1.12
36,3,0.85,2.57
37,1,0.23,0.78
37,2,0.21,1.72
37,3,0.52,2.46
38,1,0.28,-1.36
38,2,0.57,0.8
38,3,0.84,2.08
39,1,0.42,0.22
39,2,0.39,0.23
39,3,0.23,2.09
40,1,0.92,4.27
40,2,0.42,2.66
40,3,0.4,3.86
41,1,0.46,4.84
41,2,0.45,2.09
41,3,0.51,3.37
42,1,0.53,-0.01
42,2,0.49,0.01
42,3,0.51,-0.89
43,1,0.59,-0.19
43,2,0.19,2.07
43,3,0.81,-1.39
44,1,0.98,1.5
44,2,0.72,-0.17
44,3,0.76,1.81
45,1,0.63,2.3
45,2,0.31,-0.14
45,3,0.36,2.17
46,1,0.07,1.92
46,2,0.69,-0.43
46,3,0.03,-0.3
47,1,0.95,0.92
47,2,0.35,-0.88
47,3,0.77,0.96
48,1,0.55,0.78
48,2,0.53,1.03
48,3,0.42,2.67
49,1,0.59,1.87
49,2,0.45,0.85
49,3,0.81,0.91
50,1,0.9,0.02
50,2,0.61,0.92
50,3,0.25,-1.3
51,1,0.03,0.74
51,2,0.34,1.45
51,3,0.66,2.02
52,1,0.73,2.04
52,2,0.08,1.19
52,3,0.11,4.11
53,1,0.53,2.47
53,2,0.41,4.19
53,3,0.78,3.17
54,1,0.57,0.66
54,2,0.83,3.48
54,3,0.42,2.02
55,1,0.55,3.1
55,2,0.42,0.44
55,3,0.65,0.96
56,1,0.2,1.43
56,2,0.84,3.33
56,3,0.57,3.71
57,1,0.01,-1.45
57,2,0.86,-0.62
57,3,0.53,-0.75
58,1,0.99,1.61
58,2,0.5,2.99
58,3,0.05,2.64
59,1,0.14,0.63
59,2,0.77,2
59,3,0.95,0.49
60,1,0.91,0.65
60,2,0.32,0.5
60,3,0.37,0.22
61,1,0.19,2.6
61,2,0.24,3.43
61,3,0.32,1.83
62,1,0.31,2.03
62,2,0.96,3.28
62,3,0.66,4.11
63,1,0.92,0.86
63,2,0.24,3.14
63,3,0.66,2.59
64,1,0.6,1.48
64,2,0.25,2.42
64,3,0.03,2.03
65,1,0.29,-1.12
65,2,0.33,-1.28
65,3,0.59,0.59
66,1,0.07,0.1
66,2,0.65,-0.07
66,3,0.39,-0.16
67,1,0.56,2.73
67,2,0.9,2.53
67,3,0.81,0.87
68,1,0.63,0.54
68,2,0.38,0.38
68,3,0.98,2.91
69,1,0.69,0.03
69,2,0.24,-0.52
69,3,0.17,-1.27
70,1,0.85,2.07
70,2,0.12,0.24
70,3,0.03,2.05
71,1,0.36,1.92
71,2,0.89,2.39
71,3,0.55,2.49
72,1,0.28,2.2
72,2,0.25,0.63
72,3,0.07,2.35
73,1,0.33,0.58
73,2,0.2,-0.69
73,3,0.34,0.2
74,1,0.1,2.16
74,2,0.51,0.98
74,3,0.49,1.61
75,1,0.65,1.62
75,2,0.1,1.67
75,3,0.81,1.31
76,1,0.19,0.74
76,2,0.12,-1.5
76,3,0.79,1.97
77,1,0.62,2.05
77,2,0.82,0.94
77,3,0.06,1.84
78,1,0.84,2.31
78,2,0.39,2.14
78,3,0.56,0.6
79,1,0.46,0.7
79,2,0.32,0.42
79,3,0.75,0.52
80,1,0.36,1.13
80,2,0.32,1.04
80,3,0.79,1.2
81,1,0.92,0.33
81,2,0.23,0.88
81,3,0.79,1.29
82,1,0.02,0.68
82,2,0.79,1.51
82,3,0.43,2.71
83,1,0.97,0.13
83,2,0.93,1.24
83,3,0.5,0.37
84,1,0.69,3.98
84,2,0.47,1.87
84,3,0.88,1.72
